,date,dayofweek,dailyid_count,log_count
0,2018/10/01,MON,37382,2164347
1,2018/10/02,TUE,38807,2235014
2,2018/10/03,WED,38934,2260240
3,2018/10/04,THU,38730,2253780
4,2018/10/05,FRI,39288,2414898
5,2018/10/06,SAT,32616,1922390
6,2018/10/07,SUN,30194,1769915
7,2018/10/08,MON,30020,1643290
8,2018/10/09,TUE,38425,2239506
9,2018/10/10,WED,38705,2293468
10,2018/10/11,THU,38636,2274964
11,2018/10/12,FRI,39462,2404448
12,2018/10/13,SAT,32659,1870037
13,2018/10/14,SUN,29562,1553516
14,2018/10/15,MON,37875,2179094
15,2018/10/16,TUE,38543,2259835
16,2018/10/17,WED,38493,2259343
17,2018/10/18,THU,38955,2309537
18,2018/10/19,FRI,39050,2370420
19,2018/10/20,SAT,32569,1945933
20,2018/10/21,SUN,30305,1710123
21,2018/10/22,MON,37687,2144303
22,2018/10/23,TUE,37970,2180295
23,2018/10/24,WED,38108,2228765
24,2018/10/25,THU,38435,2287508
25,2018/10/26,FRI,39024,2393224
26,2018/10/27,SAT,32306,1849339
27,2018/10/28,SUN,29994,1674857
28,2018/10/29,MON,37691,2169968
29,2018/10/30,TUE,37978,2182857
30,2018/10/31,WED,38191,2174001
31,2018/11/01,THU,37649,2211594
32,2018/11/02,FRI,38159,2335368
33,2018/11/03,SAT,31370,1904536
34,2018/11/04,SUN,28842,1547497
35,2018/11/05,MON,36893,2104787
36,2018/11/06,TUE,36834,2085822
37,2018/11/07,WED,37318,2180269
38,2018/11/08,THU,37515,2222582
39,2018/11/09,FRI,37970,2315323
40,2018/11/10,SAT,32061,1914623
41,2018/11/11,SUN,29543,1632119
42,2018/11/12,MON,36898,2125727
43,2018/11/13,TUE,37546,2184283
44,2018/11/14,WED,37457,2204316
45,2018/11/15,THU,37789,2256209
46,2018/11/16,FRI,38293,2338899
47,2018/11/17,SAT,32140,1894116
48,2018/11/18,SUN,29199,1589418
49,2018/11/19,MON,36919,2129201
50,2018/11/20,TUE,37565,2204647
51,2018/11/21,WED,37981,2252994
52,2018/11/22,THU,38759,2427741
53,2018/11/23,FRI,31627,1871976
54,2018/11/24,SAT,30614,1802904
55,2018/11/25,SUN,29858,1666532
56,2018/11/26,MON,37054,2153136
57,2018/11/27,TUE,37608,2195502
58,2018/11/28,WED,37386,2189209
59,2018/11/29,THU,37465,2215500
60,2018/11/30,FRI,38288,2319282
61,2018/12/01,SAT,32090,1838182
62,2018/12/02,SUN,28932,1519896
63,2018/12/03,MON,36802,2091238
64,2018/12/04,TUE,37325,2150479
65,2018/12/05,WED,37425,2170144
66,2018/12/06,THU,37510,2181189
67,2018/12/07,FRI,38566,2346458
68,2018/12/08,SAT,32399,1828005
69,2018/12/09,SUN,29212,1493688
70,2018/12/10,MON,36935,2129148
71,2018/12/11,TUE,37055,2114859
72,2018/12/12,WED,37024,2144354
73,2018/12/13,THU,37678,2206022
74,2018/12/14,FRI,38353,2336414
75,2018/12/15,SAT,32531,1832697
76,2018/12/16,SUN,28947,1472374
77,2018/12/17,MON,36841,2117792
78,2018/12/18,TUE,37665,2103388
79,2018/12/19,WED,37619,2099714
80,2018/12/20,THU,37810,2127005
81,2018/12/21,FRI,38324,2220815
82,2018/12/22,SAT,31561,1670093
83,2018/12/23,SUN,28768,1417648
84,2018/12/24,MON,28465,1369772
85,2018/12/25,TUE,36439,2032882
86,2018/12/26,WED,36367,2054175
87,2018/12/27,THU,36823,2058936
88,2018/12/28,FRI,35842,1951680
89,2018/12/29,SAT,30122,1535553
90,2018/12/30,SUN,27171,1350016
91,2018/12/31,MON,24633,1106658
92,2019/01/01,TUE,22930,1081431
93,2019/01/02,WED,24728,1314652
94,2019/01/03,THU,25238,1284011
95,2019/01/04,FRI,28799,1510404
96,2019/01/05,SAT,27871,1412247
97,2019/01/06,SUN,25976,1160601
98,2019/01/07,MON,35695,1841721
99,2019/01/08,TUE,36206,1888496
100,2019/01/09,WED,36166,1892009
101,2019/01/10,THU,36411,1925507
102,2019/01/11,FRI,37821,2070674
103,2019/01/12,SAT,30702,1527254
104,2019/01/13,SUN,28428,1374201
105,2019/01/14,MON,27615,1286259
106,2019/01/15,TUE,36566,1911246
107,2019/01/16,WED,36989,1974564
108,2019/01/17,THU,37461,2018764
109,2019/01/18,FRI,38105,2087089
110,2019/01/19,SAT,30908,1548673
111,2019/01/20,SUN,28043,1313338
112,2019/01/21,MON,36274,1882901
113,2019/01/22,TUE,36415,1927094
114,2019/01/23,WED,36357,1917542
115,2019/01/24,THU,36746,1955565
116,2019/01/25,FRI,37384,2071321
117,2019/01/26,SAT,30610,1539432
118,2019/01/27,SUN,27909,1304517
119,2019/01/28,MON,36179,1879688
120,2019/01/29,TUE,36470,1922589
121,2019/01/30,WED,36944,1952664
122,2019/01/31,THU,36577,1919513
123,2019/02/01,FRI,37378,2015458
124,2019/02/02,SAT,30453,1531035
125,2019/02/03,SUN,27887,1301311
126,2019/02/04,MON,35912,1865186
127,2019/02/05,TUE,36288,1882283
128,2019/02/06,WED,36094,1861945
129,2019/02/07,THU,36939,1991388
130,2019/02/08,FRI,37893,2141426
131,2019/02/09,SAT,28548,1313258
132,2019/02/10,SUN,28283,1365926
133,2019/02/11,MON,27202,1247785
134,2019/02/12,TUE,36713,1947886
135,2019/02/13,WED,37116,1999475
136,2019/02/14,THU,37334,2048435
137,2019/02/15,FRI,37792,2118322
138,2019/02/16,SAT,31356,1658907
139,2019/02/17,SUN,28275,1391626
140,2019/02/18,MON,36595,1954337
141,2019/02/19,TUE,36737,1979721
142,2019/02/20,WED,36905,2015651
143,2019/02/21,THU,37285,2039650
144,2019/02/22,FRI,37837,2178665
145,2019/02/23,SAT,31424,1691871
146,2019/02/24,SUN,28852,1476042
147,2019/02/25,MON,36779,2016981
148,2019/02/26,TUE,37017,2034864
149,2019/02/27,WED,36900,2025815
150,2019/02/28,THU,36698,1985970
151,2019/03/01,FRI,45559,2404938
152,2019/03/02,SAT,38209,2004531
153,2019/03/03,SUN,32897,1495782
154,2019/03/04,MON,43572,2254577
155,2019/03/05,TUE,45119,2504585
156,2019/03/06,WED,45338,2514253
157,2019/03/07,THU,45072,2511721
158,2019/03/08,FRI,46732,2729550
159,2019/03/09,SAT,38583,2174467
160,2019/03/10,SUN,34830,1776780
161,2019/03/11,MON,44195,2418358
162,2019/03/12,TUE,45760,2554502
163,2019/03/13,WED,45401,2565231
164,2019/03/14,THU,45814,2600986
165,2019/03/15,FRI,46497,2733778
166,2019/03/16,SAT,38699,2135126
167,2019/03/17,SUN,35829,1905427
168,2019/03/18,MON,45268,2544499
169,2019/03/19,TUE,45535,2585467
170,2019/03/20,WED,47002,2767697
171,2019/03/21,THU,36992,1985883
172,2019/03/22,FRI,44526,2638454
173,2019/03/23,SAT,38614,2186348
174,2019/03/24,SUN,36884,2008990
175,2019/03/25,MON,46465,2632383
176,2019/03/26,TUE,47034,2674734
177,2019/03/27,WED,47202,2737732
178,2019/03/28,THU,47153,2750499
179,2019/03/29,FRI,47699,2768357
180,2019/03/30,SAT,39880,2260435
181,2019/03/31,SUN,37990,2060976
182,2019/04/01,MON,47999,2510455
183,2019/04/02,TUE,48204,2594049
184,2019/04/03,WED,48604,2640006
185,2019/04/04,THU,49326,2705625
186,2019/04/05,FRI,50014,2810325
187,2019/04/06,SAT,41921,2324788
188,2019/04/07,SUN,38425,1998826
189,2019/04/08,MON,47044,2456530
190,2019/04/09,TUE,47709,2575700
191,2019/04/10,WED,47012,2451378
192,2019/04/11,THU,48311,2641911
193,2019/04/12,FRI,49020,2719698
194,2019/04/13,SAT,41309,2238012
195,2019/04/14,SUN,37197,1841008
196,2019/04/15,MON,47271,2572761
197,2019/04/16,TUE,47554,2618520
198,2019/04/17,WED,47612,2623893
199,2019/04/18,THU,48337,2657497
200,2019/04/19,FRI,49219,2797315
201,2019/04/20,SAT,40800,2250649
202,2019/04/21,SUN,37549,1984963
203,2019/04/22,MON,47116,2638644
204,2019/04/23,TUE,47818,2687360
205,2019/04/24,WED,47304,2634072
206,2019/04/25,THU,48144,2720226
207,2019/04/26,FRI,48781,2830433
208,2019/04/27,SAT,40630,2247997
209,2019/04/28,SUN,38365,2305599
210,2019/04/29,MON,37443,2192888
211,2019/04/30,TUE,35304,1870550
212,2019/05/01,WED,35674,1949008
213,2019/05/02,THU,36548,2114016
214,2019/05/03,FRI,37342,2193626
215,2019/05/04,SAT,37525,2096633
216,2019/05/05,SUN,38530,2180515
217,2019/05/06,MON,36855,1770431
218,2019/05/07,TUE,48524,2471185
219,2019/05/08,WED,49208,2607735
220,2019/05/09,THU,49414,2631687
221,2019/05/10,FRI,50387,2776544
222,2019/05/11,SAT,41722,2158463
223,2019/05/12,SUN,38493,1956425
224,2019/05/13,MON,48966,2586884
225,2019/05/14,TUE,49251,2579177
226,2019/05/15,WED,49917,2705728
227,2019/05/16,THU,50153,2729208
228,2019/05/17,FRI,50941,2840816
229,2019/05/18,SAT,42356,2266301
230,2019/05/19,SUN,39301,2028300
231,2019/05/20,MON,48924,2616565
232,2019/05/21,TUE,47896,2484441
233,2019/05/22,WED,49817,2705841
234,2019/05/23,THU,50469,2741716
235,2019/05/24,FRI,51533,2905687
236,2019/05/25,SAT,42930,2286160
237,2019/05/26,SUN,39286,2036847
238,2019/05/27,MON,49421,2685125
239,2019/05/28,TUE,49648,2675845
240,2019/05/29,WED,49392,2659273
241,2019/05/30,THU,49889,2722579
242,2019/05/31,FRI,50582,2808612
243,2019/06/01,SAT,42026,2210784
244,2019/06/02,SUN,38406,1961439
245,2019/06/03,MON,48493,2566239
246,2019/06/04,TUE,49775,2651981
247,2019/06/05,WED,49935,2659035
248,2019/06/06,THU,50179,2697587
249,2019/06/07,FRI,50578,2737600
250,2019/06/08,SAT,42188,2163192
251,2019/06/09,SUN,38359,1866313
252,2019/06/10,MON,48394,2482879
253,2019/06/11,TUE,49361,2631517
254,2019/06/12,WED,49651,2631762
255,2019/06/13,THU,50065,2728144
256,2019/06/14,FRI,50772,2864468
257,2019/06/15,SAT,40292,1917938
258,2019/06/16,SUN,40143,2151015
259,2019/06/17,MON,49370,2656836
260,2019/06/18,TUE,49673,2693043
261,2019/06/19,WED,50006,2702729
262,2019/06/20,THU,50169,2719012
263,2019/06/21,FRI,51264,2852087
264,2019/06/22,SAT,41998,2170188
265,2019/06/23,SUN,38776,1931496
266,2019/06/24,MON,48238,2537388
267,2019/06/25,TUE,50110,2693413
268,2019/06/26,WED,50230,2718149
269,2019/06/27,THU,50209,2694017
270,2019/06/28,FRI,50722,2746856
271,2019/06/29,SAT,42387,2177046
272,2019/06/30,SUN,38415,1837469
273,2019/07/01,MON,48421,2496620
274,2019/07/02,TUE,49383,2582210
275,2019/07/03,WED,49495,2618507
276,2019/07/04,THU,49622,2591667
277,2019/07/05,FRI,51371,2822319
278,2019/07/06,SAT,42615,2128397
279,2019/07/07,SUN,38073,1842706
280,2019/07/08,MON,49811,2671087
281,2019/07/09,TUE,49917,2703550
282,2019/07/10,WED,50176,2721410
283,2019/07/11,THU,50478,2721241
284,2019/07/12,FRI,51112,2856010
285,2019/07/13,SAT,43129,2369588
286,2019/07/14,SUN,38607,1972930
287,2019/07/15,MON,39372,2004689
288,2019/07/16,TUE,48825,2604308
289,2019/07/17,WED,49952,2695990
290,2019/07/18,THU,50350,2717377
291,2019/07/19,FRI,50962,2861477
292,2019/07/20,SAT,42110,2202818
293,2019/07/21,SUN,39068,1959580
294,2019/07/22,MON,48258,2577875
295,2019/07/23,TUE,49113,2642545
296,2019/07/24,WED,49176,2598735
297,2019/07/25,THU,50137,2711932
298,2019/07/26,FRI,50430,2834161
299,2019/07/27,SAT,42102,2185604
300,2019/07/28,SUN,38288,1910715
301,2019/07/29,MON,48441,2666565
302,2019/07/30,TUE,49135,2678282
303,2019/07/31,WED,49018,2654376
304,2019/08/01,THU,49255,2683123
305,2019/08/02,FRI,49933,2790983
306,2019/08/03,SAT,42639,2395202
307,2019/08/04,SUN,39500,2106079
308,2019/08/05,MON,49180,2701109
309,2019/08/06,TUE,49222,2714033
310,2019/08/07,WED,49136,2733298
311,2019/08/08,THU,49721,2783727
312,2019/08/09,FRI,49882,2917348
313,2019/08/10,SAT,41884,2411746
314,2019/08/11,SUN,38630,2258084
315,2019/08/12,MON,37354,2076854
316,2019/08/13,TUE,41497,2267584
317,2019/08/14,WED,41382,2209716
318,2019/08/15,THU,40763,2081291
319,2019/08/16,FRI,43471,2304238
320,2019/08/17,SAT,39503,2130064
321,2019/08/18,SUN,37849,1979873
322,2019/08/19,MON,47959,2581319
323,2019/08/20,TUE,48717,2641810
324,2019/08/21,WED,48982,2650633
325,2019/08/22,THU,49624,2702247
326,2019/08/23,FRI,50096,2793575
327,2019/08/24,SAT,42439,2298337
328,2019/08/25,SUN,39303,2096068
329,2019/08/26,MON,48921,2648283
330,2019/08/27,TUE,49375,2671890
331,2019/08/28,WED,49304,2616942
332,2019/08/29,THU,49738,2699501
333,2019/08/30,FRI,50169,2746790
334,2019/08/31,SAT,42323,2232364
335,2019/09/01,SUN,39060,2013949
336,2019/09/02,MON,48968,2574269
337,2019/09/03,TUE,49653,2577297
338,2019/09/04,WED,54936,2990280
339,2019/09/05,THU,57138,3232940
340,2019/09/06,FRI,59221,3464143
341,2019/09/07,SAT,51385,3052721
342,2019/09/08,SUN,46040,2477040
343,2019/09/09,MON,53155,3001375
344,2019/09/10,TUE,58027,3387161
345,2019/09/11,WED,57056,3298213
346,2019/09/12,THU,57090,3406432
347,2019/09/13,FRI,58694,3670527
348,2019/09/14,SAT,52574,3391808
349,2019/09/15,SUN,49125,3173579
350,2019/09/16,MON,46308,2756998
351,2019/09/17,TUE,57299,3413827
352,2019/09/18,WED,59043,3405529
353,2019/09/19,THU,60393,3560653
354,2019/09/20,FRI,60897,3723361
355,2019/09/21,SAT,52621,3267991
356,2019/09/22,SUN,49915,3086580
357,2019/09/23,MON,49031,2885273
358,2019/09/24,TUE,57157,3268749
359,2019/09/25,WED,56816,3305805
360,2019/09/26,THU,56539,3283266
361,2019/09/27,FRI,56803,3360115
362,2019/09/28,SAT,48571,2918971
363,2019/09/29,SUN,44924,2621201
364,2019/09/30,MON,53919,3087802
